Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/12,51-60,2,6,07/25/2020 03:15:01 PM
2020/03/13,51-60,2,8,07/25/2020 03:15:01 PM
2020/03/14,51-60,1,9,07/25/2020 03:15:01 PM
2020/03/15,51-60,0,9,07/25/2020 03:15:01 PM
2020/03/16,51-60,8,17,07/25/2020 03:15:01 PM
2020/03/17,51-60,3,20,07/25/2020 03:15:01 PM
2020/03/18,51-60,4,24,07/25/2020 03:15:01 PM
2020/03/19,51-60,3,27,07/25/2020 03:15:01 PM
2020/03/20,51-60,4,31,07/25/2020 03:15:01 PM
2020/03/21,51-60,7,38,07/25/2020 03:15:01 PM
2020/03/22,51-60,5,43,07/25/2020 03:15:01 PM
2020/03/23,51-60,7,50,07/25/2020 03:15:01 PM
2020/03/24,51-60,6,56,07/25/2020 03:15:01 PM
2020/03/25,51-60,5,61,07/25/2020 03:15:01 PM
2020/03/26,51-60,9,70,07/25/2020 03:15:01 PM
2020/03/27,51-60,4,74,07/25/2020 03:15:01 PM
2020/03/28,51-60,6,80,07/25/2020 03:15:01 PM
2020/03/29,51-60,0,80,07/25/2020 03:15:01 PM
2020/03/30,51-60,6,86,07/25/2020 03:15:01 PM
2020/03/31,51-60,9,95,07/25/2020 03:15:01 PM
2020/04/01,51-60,5,100,07/25/2020 03:15:01 PM
2020/04/02,51-60,3,103,07/25/2020 03:15:01 PM
2020/04/03,51-60,5,108,07/25/2020 03:15:01 PM
2020/04/04,51-60,2,110,07/25/2020 03:15:01 PM
2020/04/05,51-60,4,114,07/25/2020 03:15:01 PM
2020/04/06,51-60,6,120,07/25/2020 03:15:01 PM
2020/04/07,51-60,5,125,07/25/2020 03:15:01 PM
2020/04/08,51-60,14,139,07/25/2020 03:15:01 PM
2020/04/09,51-60,16,155,07/25/2020 03:15:01 PM
2020/04/10,51-60,7,162,07/25/2020 03:15:01 PM
2020/04/11,51-60,3,165,07/25/2020 03:15:01 PM
2020/04/12,51-60,5,170,07/25/2020 03:15:01 PM
2020/04/13,51-60,3,173,07/25/2020 03:15:01 PM
2020/04/14,51-60,9,182,07/25/2020 03:15:01 PM
2020/04/15,51-60,3,185,07/25/2020 03:15:01 PM
2020/04/16,51-60,5,190,07/25/2020 03:15:01 PM
2020/04/17,51-60,6,196,07/25/2020 03:15:01 PM
2020/04/18,51-60,1,197,07/25/2020 03:15:01 PM
2020/04/19,51-60,9,206,07/25/2020 03:15:01 PM
2020/04/20,51-60,9,215,07/25/2020 03:15:01 PM
2020/04/21,51-60,5,220,07/25/2020 03:15:01 PM
2020/04/22,51-60,4,224,07/25/2020 03:15:01 PM
2020/04/23,51-60,5,229,07/25/2020 03:15:01 PM
2020/04/24,51-60,7,236,07/25/2020 03:15:01 PM
2020/04/25,51-60,5,241,07/25/2020 03:15:01 PM
2020/04/26,51-60,4,245,07/25/2020 03:15:01 PM
2020/04/27,51-60,3,248,07/25/2020 03:15:01 PM
2020/04/28,51-60,9,257,07/25/2020 03:15:01 PM
2020/04/29,51-60,6,263,07/25/2020 03:15:01 PM
2020/04/30,51-60,4,267,07/25/2020 03:15:01 PM
